prompt,answer
What is 64 + 93? Answer:,157
What is 85 + 58? Answer:,143
What is 58 + 35? Answer:,93
What is 54 + 64? Answer:,118
What is 63 + 72? Answer:,135
What is 10 + 52? Answer:,62
What is 27 + 92? Answer:,119
What is 24 + 55? Answer:,79
What is 54 + 14? Answer:,68
What is 57 + 49? Answer:,106
What is 14 + 18? Answer:,32
What is 67 + 22? Answer:,89
What is 32 + 48? Answer:,80
What is 24 + 92? Answer:,116
What is 48 + 89? Answer:,137
What is 39 + 14? Answer:,53
What is 74 + 64? Answer:,138
What is 27 + 60? Answer:,87
What is 34 + 32? Answer:,66
What is 51 + 86? Answer:,137
What is 83 + 73? Answer:,156
What is 27 + 44? Answer:,71
What is 41 + 26? Answer:,67
What is 62 + 97? Answer:,159
What is 36 + 47? Answer:,83
What is 42 + 44? Answer:,86
What is 87 + 92? Answer:,179
What is 79 + 89? Answer:,168
What is 55 + 48? Answer:,103
What is 79 + 49? Answer:,128
What is 92 + 26? Answer:,118
What is 52 + 97? Answer:,149
What is 34 + 46? Answer:,80
What is 82 + 56? Answer:,138
What is 36 + 83? Answer:,119
What is 44 + 89? Answer:,133
What is 22 + 89? Answer:,111
What is 10 + 73? Answer:,83
What is 21 + 46? Answer:,67
What is 86 + 19? Answer:,105
What is 44 + 74? Answer:,118
What is 11 + 47? Answer:,58
What is 41 + 82? Answer:,123
What is 67 + 56? Answer:,123
What is 54 + 97? Answer:,151
What is 34 + 17? Answer:,51
What is 28 + 33? Answer:,61
What is 59 + 68? Answer:,127
What is 93 + 67? Answer:,160
What is 10 + 22? Answer:,32
What is 50 + 91? Answer:,141
What is 42 + 55? Answer:,97
What is 47 + 51? Answer:,98
What is 69 + 59? Answer:,128
What is 10 + 91? Answer:,101
What is 47 + 77? Answer:,124
What is 17 + 79? Answer:,96
What is 86 + 73? Answer:,159
What is 89 + 94? Answer:,183
What is 25 + 93? Answer:,118
What is 37 + 34? Answer:,71
What is 30 + 23? Answer:,53
What is 23 + 82? Answer:,105
What is 13 + 37? Answer:,50
What is 76 + 69? Answer:,145
What is 43 + 64? Answer:,107
What is 39 + 76? Answer:,115
What is 86 + 79? Answer:,165
What is 88 + 73? Answer:,161
What is 58 + 15? Answer:,73
What is 54 + 55? Answer:,109
What is 28 + 24? Answer:,52
What is 23 + 93? Answer:,116
What is 45 + 36? Answer:,81
What is 26 + 48? Answer:,74
What is 23 + 48? Answer:,71
What is 92 + 50? Answer:,142
What is 16 + 11? Answer:,27
What is 78 + 62? Answer:,140
What is 88 + 89? Answer:,177
What is 77 + 94? Answer:,171
What is 69 + 18? Answer:,87
What is 55 + 84? Answer:,139
What is 61 + 53? Answer:,114
What is 46 + 38? Answer:,84
What is 18 + 94? Answer:,112
What is 97 + 27? Answer:,124
What is 60 + 43? Answer:,103
What is 73 + 32? Answer:,105
What is 96 + 11? Answer:,107
What is 44 + 62? Answer:,106
What is 15 + 18? Answer:,33
What is 30 + 37? Answer:,67
What is 52 + 20? Answer:,72
What is 33 + 74? Answer:,107
What is 36 + 62? Answer:,98
What is 28 + 21? Answer:,49
What is 97 + 26? Answer:,123
What is 43 + 56? Answer:,99
What is 44 + 70? Answer:,114
What is 59 + 39? Answer:,98
What is 19 + 84? Answer:,103
What is 72 + 35? Answer:,107
What is 80 + 87? Answer:,167
What is 39 + 39? Answer:,78
What is 42 + 14? Answer:,56
What is 15 + 44? Answer:,59
What is 70 + 78? Answer:,148
What is 18 + 83? Answer:,101
What is 80 + 81? Answer:,161
What is 33 + 54? Answer:,87
What is 73 + 19? Answer:,92
What is 89 + 49? Answer:,138
What is 29 + 68? Answer:,97
What is 11 + 41? Answer:,52
What is 40 + 55? Answer:,95
What is 87 + 40? Answer:,127
What is 27 + 93? Answer:,120
What is 34 + 13? Answer:,47
What is 13 + 65? Answer:,78
What is 80 + 95? Answer:,175
What is 62 + 46? Answer:,108
What is 24 + 49? Answer:,73
What is 80 + 49? Answer:,129
What is 61 + 33? Answer:,94
What is 97 + 74? Answer:,171
What is 98 + 59? Answer:,157
What is 56 + 81? Answer:,137
What is 25 + 81? Answer:,106
What is 79 + 57? Answer:,136
What is 20 + 46? Answer:,66
What is 92 + 15? Answer:,107
What is 72 + 54? Answer:,126
What is 20 + 53? Answer:,73
What is 67 + 75? Answer:,142
What is 96 + 72? Answer:,168
What is 31 + 88? Answer:,119
What is 20 + 88? Answer:,108
What is 40 + 51? Answer:,91
What is 62 + 61? Answer:,123
What is 69 + 75? Answer:,144
What is 46 + 66? Answer:,112
What is 60 + 42? Answer:,102
What is 81 + 49? Answer:,130
What is 36 + 23? Answer:,59
What is 20 + 42? Answer:,62
What is 59 + 93? Answer:,152
What is 29 + 86? Answer:,115
What is 59 + 90? Answer:,149
What is 94 + 91? Answer:,185
What is 62 + 40? Answer:,102
What is 24 + 59? Answer:,83
What is 23 + 34? Answer:,57
What is 93 + 33? Answer:,126
What is 91 + 35? Answer:,126
What is 82 + 31? Answer:,113
What is 43 + 82? Answer:,125
What is 29 + 91? Answer:,120
What is 31 + 87? Answer:,118
What is 71 + 23? Answer:,94
What is 30 + 39? Answer:,69
What is 39 + 97? Answer:,136
What is 94 + 71? Answer:,165
What is 41 + 80? Answer:,121
What is 83 + 14? Answer:,97
What is 82 + 30? Answer:,112
What is 78 + 86? Answer:,164
What is 58 + 19? Answer:,77
What is 23 + 93? Answer:,116
What is 78 + 50? Answer:,128
What is 21 + 99? Answer:,120
What is 34 + 84? Answer:,118
What is 42 + 73? Answer:,115
What is 38 + 37? Answer:,75
What is 62 + 82? Answer:,144
What is 73 + 80? Answer:,153
What is 13 + 97? Answer:,110
What is 94 + 81? Answer:,175
What is 87 + 70? Answer:,157
What is 85 + 77? Answer:,162
What is 17 + 62? Answer:,79
What is 74 + 99? Answer:,173
What is 80 + 93? Answer:,173
What is 19 + 17? Answer:,36
What is 57 + 58? Answer:,115
What is 20 + 26? Answer:,46
What is 52 + 74? Answer:,126
What is 83 + 96? Answer:,179
What is 26 + 33? Answer:,59
What is 78 + 90? Answer:,168
What is 76 + 12? Answer:,88
What is 80 + 53? Answer:,133
What is 40 + 22? Answer:,62
What is 36 + 98? Answer:,134
What is 74 + 78? Answer:,152
